X	Y
0	0
14,5917	-0,5867
35,15	-1,5469
47,9998	-1,4138
64,4402	-0,4598
77,8938	1,5719
86,7344	3,781
99,296	8,3796
104,5526	12,0216
107,7185	15,365
111,6125	20,5662
113,7118	25,3499
114,9093	28,7006
116,1637	34,671
117,0044	40,596
117,424	44,9606
118,4421	50,9423
119,7581	60,9237
121,438	80,237
122,6511	88,5455
122,4429	89,8289
123,7964	92,3958
124,8758	95,5941
125,4002	97,7563
126,719	99,5947
127,8295	101,7454
128,1766	103,0982
128,9401	103,5838
132,0319	109,0464
134,253	112,0642
136,2659	114,1454
138,5242	115,9543
