X	Y
45,8608	35,3605
47,0585	35,0842
47,9798	34,9922
49,2695	35,3605
51,3885	34,9001
53,3231	34,4397
55,1857	33,5244
55,8306	31,3144
55,4621	30,2095
54,2644	29,2887
52,6982	29,4728
51,1321	30,6699
49,3817	30,9461
48,0919	30,4857
47,1706	28,552
43,2918	14,4979
40,9179	9,6654
36,078	3,2155
31,6673	-0,6979
27,7317	-2,8473
23,3096	-5,1493
21,195	-6,5681
19,4446	-8,5018
17,6942	-8,9622
15,7595	-8,4097
15,5753	-7,3047
15,1146	-6,1077
14,1012	-5,3711
12,7193	-4,6344
11,4295	-4,9107
9,9555	-6,0156
9,2185	-7,3047
8,0208	-7,2127
7,0074	-6,3839
6,4547	-4,8186
4,7042	-4,3582
2,5853	-4,174
0,0057	-4,0819
0	-4,0819
