X	Y
112,9562	91,6127
114,085	90,96
114,9572	89,8722
115,4702	88,7119
116,0346	87,5515
116,8042	86,7538
116,8042	84,7957
116,3424	83,1277
114,4441	81,9674
113,1101	80,3719
113,1614	77,5436
112,751	76,6733
111,3144	75,1504
110,2883	72,9748
110,4422	71,8144
111,5709	70,7991
111,4683	69,7838
110,8013	67,6807
110,0317	66,3753
110,1343	64,7799
109,3647	63,9096
108,236	63,2569
106,7994	62,0241
106,2345	58,0215
106,2345	54,1779
105,5675	50,6969
105,1054	47,0577
104,4897	44,3019
104,6436	41,5461
105,208	41,1109
105,2593	40,3132
105,0535	39,4195
105,2074	35,5759
105,0535	29,9917
103,1551	24,2625
100,5363	19,2399
96,7397	14,0909
94,2213	10,5988
91,3481	8,8583
86,1661	7,1903
79,9474	5,6576
72,8671	4,5698
62,2102	2,7678
57,6853	2,0153
51,7631	1,3569
44,0442	-0,3361
39,1201	-1,841
36,0591	-2,6875
33,9298	-2,8756
33,6678	-3,7516
33,9602	-4,4864
34,61	-5,4049
34,2851	-5,9101
32,3032	-6,002
30,5162	-5,8183
29,6389	-5,3131
29,7364	-4,2568
29,1035	-3,7963
27,9663	-3,7504
26,2767	-3,0155
23,7424	-2,4185
21,728	-2,2348
19,0637	-2,1429
17,5366	-2,4644
16,5294	-3,1074
14,3127	-3,5188
12,4607	-3,9781
10,2513	-3,8862
7,7494	-3,3811
5,5075	-2,6922
1,9246	-2,5092
1,0148	-2,4173
0	-2,4173
