X	Y
42,4032	30,9031
43,3055	30,9031
44,3993	30,1106
44,9735	29,1267
45,0828	28,0336
44,4539	26,9677
43,3329	26,0659
42,9501	25,4373
42,6493	24,0435
42,4032	22,7864
41,8564	21,6659
40,5439	20,1628
39,4502	18,8236
38,2998	18,0283
36,5207	16,8783
34,8801	16,3317
33,677	15,7305
32,9114	15,1839
32,6107	14,1727
31,9271	11,5706
30,3412	8,0903
28,6451	4,8335
26,8951	2,3192
24,7864	-0,2012
23,143	-1,7064
21,3348	-3,1309
19,8036	-4,0054
18,163	-5,0166
16,6318	-5,5632
16,1123	-6,1644
16,0304	-6,7748
16,3576	-7,5661
17,0685	-9,6158
17,5606	-10,9823
17,2872	-11,8841
16,4928	-12,849
16,0553	-13,095
14,36	-13,095
13,9499	-12,8217
13,0476	-10,9633
12,2	-9,2416
10,3953	-7,3559
8,0946	-5,5755
5,5755	-4,398
3,6068	-3,988
2,0696	-3,7417
0	-3,6722
