X	Y
85,2012	78,8602
86,3157	78,7011
87,1118	78,2237
87,1118	77,1629
86,2627	74,8291
84,9889	72,4422
83,8743	71,0101
82,6537	70,3736
81,3268	68,411
79,1508	65,1755
76,2296	60,3936
74,6374	57,5293
72,8329	54,5059
70,6569	52,013
69,8603	50,8401
69,3288	49,2957
68,7975	37,3452
68,1607	34,9053
66,4609	30,0465
64,1761	25,9214
61,9442	21,9371
58,5446	17,7393
54,6134	14,231
50,8411	10,8811
46,219	7,108
42,4436	4,3405
38,4631	2,7493
34,3764	1,4232
29,0097	-0,5967
25,0257	-2,3512
23,2743	-3,5711
21,5228	-4,3667
17,7016	-4,3667
15,154	-2,5103
12,6596	-1,9799
10,5897	-2,2981
8,5198	-2,6164
0	-2,6164
