X	Y
58,9519	57,5565
60,663	56,2204
60,8769	54,8843
60,5026	53,9224
60,8769	52,0518
60,7699	50,395
59,2192	49,2727
57,5082	46,7074
55,7436	43,1267
53,0152	38,2523
53,0261	37,8042
53,0494	36,8472
53,0689	36,0492
52,855	35,4613
52,1599	35,1941
50,93	33,5908
49,2713	30,5844
48,7393	28,0549
49,1767	25,7899
48,5376	25,7442
47,4272	24,7354
46,7711	23,6256
46,3673	20,9016
46,115	16,8661
45,9642	15,0398
46,1156	13,123
46,9231	11,5087
47,5792	9,4405
47,3269	8,3308
45,3576	6,7578
41,7743	3,6807
37,0782	-0,2118
31,7734	-3,55
28,2392	-5,5766
27,7345	-6,3332
27,8355	-7,4934
27,5346	-8,5133
26,7776	-8,816
22,2353	-8,816
21,6297	-8,6142
21,5792	-7,9584
21,5287	-7,4035
20,7717	-6,7477
19,4594	-6,4451
16,4738	-6,1426
11,7801	-5,1337
5,6114	-3,7202
2,2803	-3,3671
0	-3,5352
