X	Y
0	0
7,898	-1,092
9,9118	-1,8467
18,7938	-1,8107
24,6634	-0,9847
33,7048	1,3154
39,1706	4,0826
43,2341	5,0889
46,3818	6,099
49,5103	8,3991
52,3152	11,0944
55,7673	13,1429
60,2698	15,4143
64,3386	18,5823
67,1434	21,0979
68,9823	23,19
70,1689	25,7056
70,999	27,367
71,9699	29,9904
72,797	32,3624
73,4824	35,0662
74,7471	39,528
75,8639	43,2021
77,3755	47,6314
78,0947	50,6502
78,7795	54,5017
79,8589	57,3461
80,8657	58,8915
81,1894	59,8618
81,5146	61,3407
82,8451	63,6408
84,7172	67,0992
86,2275	69,2914
88,1363	71,9575
90,0062	73,8981
91,1246	75,3811
91,5201	76,9264
92,2753	77,3217
