X	Y
92,2753	77,3217
93,6777	77,1061
94,0013	76,1717
93,6777	74,5904
92,2393	73,2967
90,693	71,0685
88,7872	68,445
87,4926	65,9653
86,4138	64,5637
85,262	62,5073
84,6507	60,4948
83,8236	58,3025
83,464	56,6494
82,5291	55,5712
81,6641	54,7727
81,1959	52,9996
80,8718	43,7892
79,4321	37,0968
77,7061	30,1607
76,4433	26,5129
73,6024	21,841
71,4	18,3755
68,5951	15,5364
64,8121	12,2912
60,7127	9,0208
58,1236	7,188
55,6064	6,7927
52,8735	6,5771
50,2046	4,8103
47,2918	3,0134
44,4448	1,6781
39,9103	-0,1947
36,1643	-1,2051
32,7841	-2,2114
30,4827	-3,3614
28,7566	-5,6614
27,6377	-7,7899
26,1501	-9,6285
14,0317	-9,6285
11,6943	-8,191
9,1771	-7,4363
5,6803	-6,0351
4,2419	-5,4601
1,0004	-5,4601
0	-6,3173
