X	Y
95,9575	74,8598
97,1417	74,3576
98,2075	73,4369
98,3852	71,8467
98,0299	70,675
97,0825	70,7587
96,4904	70,2565
95,7798	68,4989
93,885	64,0629
92,3455	60,8825
89,7994	56,6977
87,0164	52,2618
84,4702	48,1606
82,2794	42,9715
80,4438	37,4475
80,3842	36,5081
79,8513	36,0896
79,9105	33,4113
79,7329	30,9004
79,3776	30,733
78,9039	31,1515
78,5467	30,1182
78,7834	28,3594
78,5207	27,5638
77,6577	27,4047
77,6202	26,5031
77,9204	25,6014
77,6202	24,7528
76,457	23,0556
76,532	21,8888
75,4439	20,6158
71,5415	14,6756
67,3014	9,3188
62,5299	3,7237
54,4625	-1,7392
47,807	-5,4134
46,3373	-6,3216
45,2117	-5,8443
44,3862	-4,7305
43,6732	-5,1017
42,8853	-6,1625
42,2849	-7,3824
38,7975	-7,4582
32,9923	-7,89
31,541	-9,5096
27,9509	-8,7538
26,8815	-8,106
19,3959	-7,5661
13,5907	-7,5661
7,8619	-6,2705
2,9733	-4,759
0	-5,6242
